Inference for Stan model: hmm-semisup-orig.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                       mean se_mean    sd     2.5%      25%      50%      75%    97.5% n_eff    Rhat
y_star[18,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[18,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[19,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[19,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[20,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[20,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[21,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[21,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
y_star[22,2]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,3]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,4]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,5]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,6]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,7]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,8]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,9]           1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[22,10]          1.50    0.04  0.50     1.00     1.00     1.50     2.00     2.00   200     Inf
y_star[23,1]           2.00    0.00  0.00     2.00     2.00     2.00     2.00     2.00   200     NaN
