Inference for Stan model: hmm_simple.
2 chains, each with iter=200; warmup=100; thin=1; 
post-warmup draws per chain=100, total post-warmup draws=200.

                    mean se_mean   sd      2.5%       25%       50%       75%     97.5% n_eff  Rhat
phi[3,1,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.23
phi[3,2,1]          0.21    0.00 0.00      0.21      0.21      0.21      0.22      0.22   200  0.99
phi[3,2,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19   200  0.99
phi[3,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.13      0.13   200  0.99
phi[3,2,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
phi[3,2,5]          0.08    0.00 0.00      0.07      0.07      0.08      0.08      0.08   200  0.99
phi[3,2,6]          0.18    0.00 0.00      0.18      0.18      0.18      0.19      0.19   200  0.99
phi[3,2,7]          0.10    0.00 0.00      0.09      0.10      0.10      0.10      0.10   200  1.00
phi[3,2,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05   200  0.99
phi[3,2,9]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
phi[3,3,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.13
phi[3,3,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19     2  1.34
phi[3,3,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.33
phi[3,3,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.50
phi[3,3,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  2.11
phi[3,3,6]          0.19    0.01 0.01      0.18      0.18      0.19      0.19      0.20     1  2.13
phi[3,3,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.91
phi[3,3,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.28
phi[3,3,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.35
phi[4,1,1]          0.22    0.01 0.01      0.21      0.21      0.22      0.23      0.23     1  3.08
phi[4,1,2]          0.18    0.00 0.00      0.18      0.18      0.18      0.18      0.19     3  1.20
phi[4,1,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.12      0.13     2  1.27
phi[4,1,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04     1  2.39
phi[4,1,5]          0.07    0.00 0.00      0.07      0.07      0.07      0.08      0.08     1  1.93
phi[4,1,6]          0.19    0.00 0.01      0.18      0.18      0.19      0.19      0.20     1  2.01
phi[4,1,7]          0.09    0.00 0.00      0.09      0.09      0.09      0.10      0.10     1  1.78
phi[4,1,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05     1  2.20
phi[4,1,9]          0.04    0.00 0.00      0.03      0.04      0.04      0.04      0.04     1  2.23
phi[4,2,1]          0.21    0.00 0.00      0.21      0.21      0.21      0.22      0.22   200  0.99
phi[4,2,2]          0.18    0.00 0.00      0.17      0.18      0.18      0.18      0.19   200  0.99
phi[4,2,3]          0.12    0.00 0.00      0.12      0.12      0.12      0.13      0.13   200  0.99
phi[4,2,4]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
phi[4,2,5]          0.08    0.00 0.00      0.07      0.07      0.08      0.08      0.08   200  0.99
phi[4,2,6]          0.18    0.00 0.00      0.18      0.18      0.18      0.19      0.19   200  0.99
phi[4,2,7]          0.10    0.00 0.00      0.09      0.10      0.10      0.10      0.10   200  1.00
phi[4,2,8]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.05   200  0.99
phi[4,2,9]          0.04    0.00 0.00      0.04      0.04      0.04      0.04      0.04   200  1.00
